本数据策略分享会专用，由邢不行整理，微信：xbx6660
股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值,净利润TTM,现金流TTM,净资产,总资产,总负债,净利润(当季),中户资金买入额,中户资金卖出额,大户资金买入额,大户资金卖出额,散户资金买入额,散户资金卖出额,机构资金买入额,机构资金卖出额,沪深300成分股,上证50成分股,中证500成分股,中证1000成分股,中证2000成分股,创业板指成分股,新版申万一级行业名称,新版申万二级行业名称,新版申万三级行业名称,09:35收盘价,09:45收盘价,09:55收盘价
sh688368,晶丰明源,2019-12-04,68.23,70.88,68.23,69.2,68.73,677240.0,47062927.0,974010760.0,4262720000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,2079.99,1733.78,1367.64,1331.11,1258.63,1433.26,0.0,208.11,,,,,,,电子,半导体,集成电路,68.77,69.2,69.39
sh688368,晶丰明源,2019-12-05,68.65,69.76,67.55,68.89,69.2,842062.0,57458430.0,969647417.0,4243624000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,2398.63,2497.47,1323.67,2120.62,1907.94,1025.48,115.56,102.23,,,,,,,电子,半导体,集成电路,68.64,68.66,68.33
sh688368,晶丰明源,2019-12-06,68.95,69.48,67.6,67.61,68.89,738918.0,50545324.0,951631033.0,4164776000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,2181.09,1972.05,1004.31,1916.02,1869.1,1166.42,0.0,0.0,,,,,,,电子,半导体,集成电路,68.36,68.77,69.28
sh688368,晶丰明源,2019-12-09,68.3,75.52,67.7,75.5,67.61,2392933.0,172661057.0,1062685150.0,4650800000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,7779.85,6829.31,6025.31,3904.74,2869.42,6397.04,591.43,134.91,,,,,,,电子,半导体,集成电路,68.29,68.98,69.88
sh688368,晶丰明源,2019-12-10,74.0,80.88,73.34,76.79,75.5,2570277.0,198997550.0,1080842287.0,4730264000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,7685.78,7214.43,7997.42,7495.39,3842.63,4426.95,373.83,762.89,,,,,,,电子,半导体,集成电路,74.49,75.18,74.53
sh688368,晶丰明源,2019-12-11,76.49,79.48,75.75,77.51,76.79,1457060.0,113418809.0,1090976503.0,4774616000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,5163.88,4511.85,3020.64,3983.1,1968.65,2397.3,1188.65,449.58,,,,,,,电子,半导体,集成电路,78.31,78.69,77.65
sh688368,晶丰明源,2019-12-12,77.0,80.8,76.36,78.83,77.51,1360322.0,108049014.0,1109555899.0,4855928000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,4805.29,4098.43,4071.51,3823.98,1767.65,2662.15,160.39,220.28,,,,,,,电子,半导体,集成电路,78.68,79.4,80.0
sh688368,晶丰明源,2019-12-13,79.5,79.8,76.01,78.61,78.83,908399.0,70358997.0,1106459333.0,4842376000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,2862.58,2823.0,1466.02,2379.4,2582.79,1710.48,124.46,122.97,,,,,,,电子,半导体,集成电路,78.99,78.46,77.15
sh688368,晶丰明源,2019-12-16,78.63,80.4,77.01,79.53,78.61,749268.0,59519867.0,1119408609.0,4899048000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,2050.73,2436.45,1463.88,1380.44,1939.26,1623.27,498.08,511.79,,,,,,,电子,半导体,集成电路,77.58,78.5,80.29
sh688368,晶丰明源,2019-12-17,79.99,82.0,78.65,80.8,79.53,866433.0,69701097.0,1137284240.0,4977280000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,3308.15,3593.81,2068.52,1766.64,1481.63,1391.6,111.77,218.02,,,,,,,电子,半导体,集成电路,79.78,81.98,81.24
sh688368,晶丰明源,2019-12-18,80.75,90.0,80.28,89.3,80.8,2214359.0,190338300.0,1256924290.0,5500880000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,6419.79,8884.94,8381.03,5527.92,2207.75,3918.05,2025.18,702.84,,,,,,,电子,半导体,集成电路,80.8,82.6,83.3
sh688368,晶丰明源,2019-12-19,88.58,89.29,84.8,86.15,89.3,1206673.0,104080046.0,1212587095.0,5306840000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,4506.25,4339.92,2831.0,4375.33,2804.96,1139.8,265.74,552.9,,,,,,,电子,半导体,集成电路,87.78,86.0,85.89
sh688368,晶丰明源,2019-12-20,85.96,87.96,85.3,86.41,86.15,879794.0,76223268.0,1216246673.0,5322856000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,4141.88,3870.21,2353.08,2388.46,1127.33,1251.93,0.0,111.68,,,,,,,电子,半导体,集成电路,86.29,87.34,86.23
sh688368,晶丰明源,2019-12-23,86.0,86.0,78.0,83.3,86.41,1461280.0,120417470.0,1172472490.0,5131280000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,5474.03,4908.41,2507.22,3911.85,3193.13,2250.0,867.29,971.42,,,,,,,电子,半导体,集成电路,85.11,82.18,83.12
sh688368,晶丰明源,2019-12-24,82.85,86.92,82.33,86.76,83.3,636996.0,53759949.0,1221173028.0,5344416000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,2572.5,2831.72,1640.5,1181.37,1162.96,1362.87,0.0,0.0,,,,,,,电子,半导体,集成电路,83.29,83.35,83.33
sh688368,晶丰明源,2019-12-25,86.0,92.88,86.0,89.73,86.76,1132849.0,102215165.0,1262976669.0,5527368000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,3459.82,4601.83,3229.6,3346.57,3055.39,2169.44,476.64,103.62,,,,,,,电子,半导体,集成电路,87.28,89.18,90.0
sh688368,晶丰明源,2019-12-26,89.53,91.58,88.0,88.79,89.73,538798.0,48279660.0,1249745887.0,5469464000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,1883.42,2232.77,1260.28,1595.81,1309.13,871.2,375.11,128.15,,,,,,,电子,半导体,集成电路,91.0,90.44,89.77
sh688368,晶丰明源,2019-12-27,88.55,93.5,86.65,86.65,88.79,1072452.0,97454477.0,1219624745.0,5337640000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,3474.96,3984.13,2182.34,3877.28,3476.41,1772.15,604.91,105.06,,,,,,,电子,半导体,集成电路,89.75,90.61,91.92
sh688368,晶丰明源,2019-12-30,86.0,92.78,84.88,90.01,86.65,845714.0,75199587.0,1266917753.0,5544616000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,3053.22,3478.11,2013.07,2313.76,2351.71,1544.64,101.91,183.41,,,,,,,电子,半导体,集成电路,86.6,85.55,85.9
